City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Belmonte,BR,2021-05-27 21:13:13,-15.8631,-38.8828,79.3,75,4,7.45
277,Mouila,GA,2021-05-27 21:13:13,-1.8685,11.0559,74.68,96,95,0.81
278,Hobyo,SO,2021-05-27 21:13:13,5.3505,48.5268,78.94,81,21,17.36
279,Qiqihar,CN,2021-05-27 21:13:14,47.3408,123.9672,53.69,61,100,2.84
280,Chapadinha,BR,2021-05-27 21:13:14,-3.7417,-43.3603,79.09,69,84,2.75
281,Iizuka,JP,2021-05-27 21:13:14,33.6333,130.6833,66.09,56,100,5.39
282,Nador,MA,2021-05-27 21:13:15,35.174,-2.9287,61.05,94,90,11.12
283,Asau,RO,2021-05-27 21:13:15,46.4333,26.4,61.75,100,95,4.21
284,Sedan,FR,2021-05-27 21:13:15,49.6667,5.0,49.91,93,4,4.27
285,Praia,CV,2021-05-27 21:13:16,14.9215,-23.5087,72.14,73,20,16.11
286,Usinsk,RU,2021-05-27 21:09:11,65.9939,57.5281,35.28,61,11,7.54
287,Popondetta,PG,2021-05-27 21:13:16,-8.7537,148.2534,73.4,85,76,2.82
288,Antofagasta,CL,2021-05-27 21:13:16,-23.65,-70.4,71.22,57,94,2.21
289,Saiha,IN,2021-05-27 21:13:17,22.4833,92.9667,70.16,85,49,2.37
290,Jalu,LY,2021-05-27 21:13:17,29.0331,21.5482,82.26,24,21,11.68
291,Luanda,AO,2021-05-27 21:09:41,-8.8368,13.2343,75.22,90,77,10.07
292,Kpandu,GH,2021-05-27 21:13:18,6.9954,0.2931,77.68,87,64,8.25
